CT,ID
21.819,236_2_2
26.452,236_2_3
26.105,236_2_3
23.62,237_2_1
23.181,237_2_1
24.155,237_2_2
23.622,237_2_2
24.059,237_2_3
23.787,237_2_3
22.756,238_2_1
22.873,238_2_1
23.86,238_2_2
22.548,238_2_2
23.786,238_2_3
23.534,238_2_3
22.48,239_2_1
22.859,239_2_1
22.466,239_2_2
22.006,239_2_2
23.668,239_2_3
23.381,239_2_3
23.714,24_1_1
24.279,24_1_1
24.61,24_1_2
24.762,24_1_2
20.611,24_1_3
20.918,24_1_3
24.89,240_2_1
25.158,240_2_1
24.715,240_2_2
24.242,240_2_2
23.369,240_2_3
23.74,240_2_3
23.652,241_2_1
24.041,241_2_1
25.193,241_2_2
25.337,241_2_2
25.744,241_2_3
25.404,241_2_3
22.514,242_2_1
22.806,242_2_1
24.098,242_2_2
24.053,242_2_2
22.001,242_2_3
21.696,242_2_3
23.262,243_2_1
23.38,243_2_1
20.105,243_2_2
20.439,243_2_2
15.904,243_2_3
15.594,243_2_3
23.591,244_2_1
23.822,244_2_1
22.052,244_2_2
21.885,244_2_2
23.895,244_2_3
24.941,244_2_3
20.299,245_2_1
20.583,245_2_1
21.845,245_2_2
21.624,245_2_2
23.959,245_2_3
24.673,245_2_3
23.146,246_2_1
23.562,246_2_1
23.374,246_2_2
22.748,246_2_2
24.352,246_2_3
24.447,246_2_3
23.344,247_2_1
23.342,247_2_1
23.864,247_2_2
23.704,247_2_2
24.657,247_2_3
23.558,247_2_3
23.255,248_2_1
23.77,248_2_1
19.696,248_2_2
19.72,248_2_2
23.459,248_2_3
23.8,248_2_3
25.535,249_2_1
25.064,249_2_1
22.95,249_2_2
23.126,249_2_2
22.656,249_2_3
23.093,249_2_3
17.621,25_1_1
17.163,25_1_1
21.62,25_1_2
21.695,25_1_2
14.737,25_1_3
15.062,25_1_3
23.109,250_2_1
23.348,250_2_1
24.694,250_2_2
24.819,250_2_2
18.986,250_2_3
18.902,250_2_3
22.185,251_2_1
22.91,251_2_1
24.766,251_2_2
24.637,251_2_2
25.586,251_2_3
25.334,251_2_3
24.423,252_2_1
24.56,252_2_1
24.596,252_2_2
24.627,252_2_2
22.788,252_2_3
22.563,252_2_3
23.645,253_2_1
23.873,253_2_1
21.47,253_2_2
21.184,253_2_2
20.006,253_2_3
19.926,253_2_3
24.835,254_2_1
24.996,254_2_1
24.237,254_2_2
24.257,254_2_2
23.85,254_2_3
23.876,254_2_3
25.851,255_2_1
25.895,255_2_1
24.83,255_2_2
24.596,255_2_2
21.003,255_2_3
21.125,255_2_3
24.152,256_2_1
24.291,256_2_1
20.231,256_2_2
20.141,256_2_2
21.893,256_2_3
22.715,256_2_3
24.557,257_2_1
24.746,257_2_1
23.339,257_2_2
23.413,257_2_2
24.154,257_2_3
22.942,257_2_3
20.968,258_2_1
21.289,258_2_1
21.653,258_2_2
21.664,258_2_2
20.402,258_2_3
20.174,258_2_3
23.536,259_2_1
23.331,259_2_1
23.704,259_2_2
23.815,259_2_2
25.218,259_2_3
25.137,259_2_3
23.782,26_1_1
23.972,26_1_1
25.756,26_1_2
26.046,26_1_2
19.882,26_1_3
19.927,26_1_3
26.376,260_2_1
26.205,260_2_1
22.596,260_2_2
23.123,260_2_2
23.989,260_2_3
23.862,260_2_3
21.901,262_2_1
21.785,262_2_1
25.161,262_2_2
25.143,262_2_2
21.18,262_2_3
21.458,262_2_3
18.912,263_2_1
18.413,263_2_1
14.93,263_2_2
15.41,263_2_2
17.791,263_2_3
18.382,263_2_3
23.065,264_2_1
23.523,264_2_1
24.548,264_2_2
24.896,264_2_2
23.536,264_2_3
22.103,264_2_3
16.946,265_2_1
16.358,265_2_1
19.129,265_2_2
19.141,265_2_2
14.984,265_2_3
15.904,265_2_3
16.773,266_2_1
17.181,266_2_1
14.819,266_2_2
14.8,266_2_2
15.407,266_2_3
14.673,266_2_3
24.015,267_2_1
23.922,267_2_1
18.37,267_2_2
18.364,267_2_2
15.639,267_2_3
15.417,267_2_3
25.132,268_2_1
25.116,268_2_1
23.221,268_2_2
23.458,268_2_2
24.449,268_2_3
24.525,268_2_3
23.409,269_2_1
22.523,269_2_1
14.733,269_2_2
14.818,269_2_2
17.039,269_2_3
16.588,269_2_3
21.586,27_1_1
21.464,27_1_1
25.7,27_1_2
26.09,27_1_2
19.729,27_1_3
20.331,27_1_3
17.703,270_2_1
17.307,270_2_1
25.847,270_2_2
25.577,270_2_2
26.632,270_2_3
25.467,270_2_3
